"REF_DATE","GEO","DGUID","Commodity","Destinations","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-11","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","184472","","","","0"
"2017-12","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","168366","","","","0"
"2018-01","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","213934","","","","0"
"2018-02","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","184755","","","","0"
"2018-03","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","185486","","","","0"
"2018-04","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","261781","","","","0"
"2018-05","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","183906","","","","0"
"2018-06","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","21863","","","","0"
"2018-07","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","166832","","","","0"
"2018-08","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","67247","","","","0"
"2018-09","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","66025","","","","0"
"2018-10","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","331919","","","","0"
"2018-11","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","256662","","","","0"
"2018-12","Canada","2016A000011124","Barley","Total exports, all destinations","Tonnes","288","units ","0","v124956","1.4.1","298254","","","","0"
"2016-01","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","5668","","","","0"
"2016-02","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","6021","","","","0"
