"REF_DATE","GEO","DGUID","Type of computer","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-12","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","96.1","","","","1"
"2018-01","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","95.9","","","","1"
"2018-02","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","95.9","","","","1"
"2018-03","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","95.2","","","","1"
"2018-04","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","95.5","","","","1"
"2018-05","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","95.2","","","","1"
"2018-06","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","94.2","","","","1"
"2018-07","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","94.2","","","","1"
"2018-08","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","93.6","","","","1"
"2018-09","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","93.7","","","","1"
"2018-10","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","93.5","","","","1"
"2018-11","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","94.6","","","","1"
"2018-12","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","95.0","","","","1"
"2016-01","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","100.1","","","","1"
"2016-02","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","101.0","","","","1"
"2016-03","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","100.5","","","","1"
"2016-04","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","100.9","","","","1"
"2016-05","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","101.0","","","","1"
"2016-06","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","100.6","","","","1"
"2016-07","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","100.4","","","","1"
"2016-08","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","99.5","","","","1"
"2016-09","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","99.6","","","","1"
"2016-10","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","100.5","","","","1"
"2016-11","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","100.5","","","","1"
"2016-12","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","99.7","","","","1"
"2017-01","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","99.2","","","","1"
"2017-02","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","99.4","","","","1"
"2017-03","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","99.1","","","","1"
"2017-04","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","98.6","","","","1"
"2017-05","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","98.4","","","","1"
"2017-06","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","97.6","","","","1"
"2017-07","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","98.1","","","","1"
"2017-08","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","97.6","","","","1"
"2017-09","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","98.0","","","","1"
"2017-10","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","98.3","","","","1"
"2017-11","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","97.3","","","","1"
"2017-12","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","97.0","","","","1"
"2018-01","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","96.6","","","","1"
"2018-02","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","95.9","","","","1"
"2018-03","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","96.1","","","","1"
"2018-04","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","96.0","","","","1"
"2018-05","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","96.3","","","","1"
"2018-06","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","95.2","","","","1"
"2018-07","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","96.1","","","","1"
"2018-08","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","96.0","","","","1"
"2018-09","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","95.5","","","","1"
"2018-10","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","95.8","","","","1"
"2018-11","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","95.7","","","","1"
"2018-12","Canada","2016A000011124","Laptop computers [3611112]","2015=100","324","units ","0","v108788740","1.5","95.8","","","","1"
"2016-01","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","100.2","","","","1"
"2016-02","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.7","","","","1"
"2016-03","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.9","","","","1"
"2016-04","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.7","","","","1"
"2016-05","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","100.6","","","","1"
"2016-06","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","101.0","","","","1"
"2016-07","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","100.3","","","","1"
"2016-08","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","100.3","","","","1"
"2016-09","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","100.1","","","","1"
"2016-10","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","100.2","","","","1"
"2016-11","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","100.0","","","","1"
"2016-12","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.7","","","","1"
"2017-01","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.7","","","","1"
"2017-02","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.9","","","","1"
"2017-03","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.9","","","","1"
"2017-04","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.8","","","","1"
"2017-05","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.8","","","","1"
"2017-06","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.8","","","","1"
"2017-07","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.8","","","","1"
"2017-08","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.8","","","","1"
"2017-09","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.8","","","","1"
"2017-10","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","100.0","","","","1"
"2017-11","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.4","","","","1"
"2017-12","Canada","2016A000011124","Laptop, businesses and governments [36111121]","2015=100","324","units ","0","v108788741","1.6","99.4","","","","1"
