"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-06","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1715","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1327","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1192","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1704","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","2880","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","3057","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","2706","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1310","","","","0"
"2017-02","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1408","","","","0"
"2017-03","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","2161","","","","0"
"2017-04","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1440","","","","0"
"2017-05","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1282","","","","0"
"2017-06","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","2554","","","","0"
"2017-07","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1069","","","","0"
"2017-08","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","978","","","","0"
"2017-09","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","668","","","","0"
"2017-10","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","789","","","","0"
"2017-11","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1256","","","","0"
"2017-12","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1237","","","","0"
"2018-01","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1070","","","","0"
"2018-02","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1378","","","","0"
"2018-03","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1298","","","","0"
"2018-04","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1264","","","","0"
"2018-05","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1313","","","","0"
"2018-06","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1755","","","","0"
"2018-07","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1051","","","","0"
"2018-08","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1639","","","","0"
"2018-09","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1602","","","","0"
"2018-10","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1367","","","","0"
"2018-11","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1501","","","","0"
"2018-12","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1318","","","","0"
"2019-01","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1356","","","","0"
"2019-02","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1752","","","","0"
